prompt,ground_truth,generated_plan,precision,recall,f1,true_skip_ratio,transmission_rate,num_tokens,latency_s,throughput_tok_per_s
Could you please prepare a Unicorn Frappe with a dash of vanilla syrup for me?,1. Prepare blender 2. Add ice 3. Drizzle colored syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle colored syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.24193548387096775,62,4.375,14.2
I would like to order a Green Tea with extra milk.,1. Place cup 2. Pour green tea 3. Stir 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Pour green tea 3. Stir 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,0.96875,0.25,32,2.266,14.1
I would like to order a Mint-Cream Choco Latte with extra milk.,1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour milk 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour milk 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9791666666666666,0.22916666666666666,48,3.701,13.0
I would like to order a Green Grape Ade with extra milk.,1. Place cup 2. Add ice 3. Drizzle green grape syrup 4. Pour soda water 5. Stir 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle green grape syrup 4. Pour soda water 5. Stir 6. Pour milk 7. Serve beverage 8. Done,1.000,1.000,1.000,0.98,0.24,50,3.771,13.3
"May I have a One Green Grape Mojito with caramel drizzle, please., thank you?",1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle caramel syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9848484848484849,0.2727272727272727,66,5.728,11.5
"Would you get me a Strawberry Cheeseholic Frappe with whipped cream, please?",1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Drizzle cream cheese syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Garnish whipped cream 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Drizzle cream cheese syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Garnish whipped cream 9. Serve beverage 11. Done,1.000,1.000,1.000,0.961038961038961,0.2987012987012987,77,6.931,11.1
"May I have a One Mint Frappe with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Drizzle mint syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle mint syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9841269841269842,0.2222222222222222,63,4.206,15.0
Could you please prepare a Mint Cafe Mocha with a dash of vanilla syrup for me?,1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour espresso 5. Pour milk 6. Garnish mint leaf 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour espresso 5. Pour milk 6. Garnish mint leaf 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9565217391304348,0.2898550724637681,69,5.420,12.7
"May I have a One Choco Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9777777777777777,0.24444444444444444,45,3.137,14.3
Could you please prepare a Cold Brew Original with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Pour cold brew 4. Drizzle vanilla syrup 5. Serve beverage 6. Done, 1. Place cup 2. Add ice 3. Pour cold brew 4. Drizzle vanilla syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9743589743589743,0.3076923076923077,39,3.082,12.7
"Would you get me a Cherry Coke with whipped cream, please?",1. Place cup 2. Add ice 3. Drizzle cherry syrup 4. Pour coke 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle cherry syrup 4. Pour coke 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,0.9811320754716981,0.16981132075471697,53,3.054,17.4
Please may I have a Apple Citron Tea with an extra shot of espresso?,1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Pour espresso 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Pour espresso 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.2653061224489796,49,3.493,14.0
"Would you get me a Mint Frappe with whipped cream, please?",1. Prepare blender 2. Add ice 3. Drizzle mint syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Garnish whipped cream 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle mint syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Garnish whipped cream 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.13114754098360656,61,3.148,19.4
Could you please prepare a Plain Yogurt Smoothie with a dash of vanilla syrup for me?,1. Prepare blender 2. Add ice 3. Add yogurt 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Add yogurt 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.2542372881355932,59,4.285,13.8
"May I have a Coffee with caramel drizzle, thank you?",1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Pour cold brew 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done,0.667,0.571,0.615,0.9,0.325,40,3.203,12.5
"May I have a One Toffee-Nut Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9565217391304348,0.2826086956521739,46,3.437,13.4
"May I have a One Strawberry Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle strawberry syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle strawberry syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.26666666666666666,45,3.323,13.5
I would like to order a Green Tea Frappe with extra milk.,1. Prepare blender 2. Add ice 3. Drizzle green tea syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle green tea syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.2807017543859649,57,4.228,13.5
"Would you get me a Apple Citron Tea with whipped cream, please?",1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,0.9807692307692307,0.21153846153846154,52,3.231,16.1
"Would you get me a Royal Milk-Tea Latte with whipped cream, please?",1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done, 1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Pour milk foam 5. Garnish whipped cream 6. Serve beverage 7. Done,0.857,1.000,0.923,0.9347826086956522,0.30434782608695654,46,3.587,12.8
Could you please prepare a Mega Americano with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Drizzle vanilla syrup 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Drizzle vanilla syrup 4. Pour water 5. Pour espresso 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9090909090909091,0.29545454545454547,44,3.416,12.9
"May I have a One Oreo Choco Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Garnish crushed Oreo 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Garnish crushed cookie 5. Drizzle caramel syrup 6. Serve beverage 7. Done,0.857,0.857,0.857,0.9444444444444444,0.24074074074074073,54,3.908,13.8
Please may I have a Royal Milk-Tea Latte with an extra shot of espresso?,1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Pour espresso 5. Serve beverage 6. Done, 1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Pour espresso 5. Serve beverage 6. Done,1.000,1.000,1.000,0.8888888888888888,0.3333333333333333,36,2.939,12.2
"May I have a One Cold Brew Latte with caramel drizzle, please., thank you?",1. Place cup 2. Add ice 3. Pour cold brew 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour cold brew 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9777777777777777,0.24444444444444444,45,3.154,14.3
"Would you get me a King Mega Choco with whipped cream, please?",1. Place cup 2. Drizzle chocolate syrup 3. Pour espresso 4. Pour milk 5. Garnish chocolate powder 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour espresso 4. Pour milk 5. Garnish whipped cream 6. Serve beverage 7. Done,1.000,0.875,0.933,0.94,0.32,50,4.063,12.3
Please may I have a Mango Yogurt Smoothie with an extra shot of espresso?,1. Prepare blender 2. Add ice 3. Add mango puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Pour espresso 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Add mango puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Pour espresso 9. Serve beverage 11. Done,1.000,1.000,1.000,0.96875,0.375,64,5.990,10.7
Could you please prepare a Blue Lemonade with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Drizzle blue syrup 4. Pour lemonade 5. Garnish lemon slice 6. Drizzle vanilla syrup 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle blue syrup 4. Pour lemonade 5. Garnish lemon slice 6. Drizzle vanilla syrup 7. Serve beverage 8. Done,1.000,1.000,1.000,0.9310344827586207,0.29310344827586204,58,4.541,12.8
"Would you get me a Citron Tea with whipped cream, please?",1. Place cup 2. Add ice 3. Drizzle citron syrup 4. Pour hot water 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle citron syrup 4. Pour hot water 5. Stir 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.22641509433962265,53,3.488,15.2
Could you please prepare a Mango Yogurt Smoothie with a dash of vanilla syrup for me?,1. Prepare blender 2. Add ice 3. Add mango puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Drizzle vanilla syrup 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Add mango puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Drizzle vanilla syrup 9. Serve beverage 11. Done,1.000,1.000,1.000,0.9852941176470589,0.2647058823529412,68,5.078,13.4
I would like to order a Plain Yogurt Smoothie with extra milk.,1. Prepare blender 2. Add ice 3. Add yogurt 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Add yogurt 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9811320754716981,0.18867924528301888,53,3.381,15.7
Please may I have a Honey Grapefruit Black Tea with an extra shot of espresso?,1. Place cup 2. Add ice 3. Drizzle honey syrup 4. Add grapefruit slices 5. Pour black tea 6. Stir 7. Pour espresso 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle honey syrup 4. Add grapefruit slices 5. Pour black tea 6. Stir 7. Pour espresso 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9666666666666667,0.26666666666666666,60,4.615,13.0
"May I have a with caramel drizzle, thank you?",1. Place cup 2. Pour green tea 3. Stir 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle soda 3. Pour cream 4. Garnish mint 5. Drizzle caramel syrup 6. Serve beverage 7. Done,0.571,0.667,0.615,0.94,0.32,50,3.934,12.7
Could you please prepare a Green Tea Latte with a dash of vanilla syrup for me?,1. Place cup 2. Pour green tea concentrate 3. Pour milk 4. Drizzle vanilla syrup 5. Serve beverage 6. Done, 1. Place cup 2. Pour green tea concentrate 3. Pour milk 4. Drizzle vanilla syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,0.975,0.175,40,2.269,17.6
"Would you get me a Mega Choco Latte with whipped cream, please?",1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9767441860465116,0.2558139534883721,43,2.935,14.7
"Would you get me a Plain Pong Crush with whipped cream, please?",1. Prepare blender 2. Add ice 3. Pour milk 4. Blend well 5. Pour into cup 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Prepare blender 2. Add ice 3. Pour milk 4. Blend well 5. Pour into cup 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,0.9607843137254902,0.11764705882352941,51,2.599,19.6
"May I have a with caramel drizzle, thank you?",1. Place cup 2. Pour Earl Grey tea 3. Stir 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle vanilla syrup 3. Pour black tea 4. Stir 5. Drizzle caramel syrup 6. Serve beverage 7. Done,0.714,0.833,0.769,0.96,0.26,50,3.559,14.1
I would like to order a Mega Choco Latte with extra milk.,1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9473684210526316,0.3684210526315789,38,3.158,12.0
Please may I have a Mint-Cream Choco Latte with an extra shot of espresso?,1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour espresso 6. Serve beverage 7. Done,1.000,1.000,1.000,0.98,0.26,50,3.644,13.7
"May I have a One Strawberry Yogurt Smoothie with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Add strawberry puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Drizzle caramel syrup 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Pour yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Drizzle caramel syrup 9. Serve beverage 11. Done,0.800,0.800,0.800,0.9589041095890412,0.2328767123287671,73,5.214,14.0
Please may I have a Green Grape Mojito with an extra shot of espresso?,1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Pour espresso 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Pour espresso 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9836065573770492,0.2786885245901639,61,4.724,12.9
"May I have a One Cookie Frappe with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Drizzle cookie syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle caramel syrup 4. Drizzle cookie syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Drizzle caramel syrup 9. Serve beverage 11. Done,0.900,1.000,0.947,0.9605263157894737,0.3157894736842105,76,6.439,11.8
"May I have a One Cold Brew Decaf Latte with caramel drizzle, please., thank you?",1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9583333333333334,0.2708333333333333,48,3.475,13.8
"Would you get me a Blue Lemonade with whipped cream, please?",1. Place cup 2. Add ice 3. Drizzle blue syrup 4. Pour lemonade 5. Garnish lemon slice 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle blue syrup 4. Pour lemonade 5. Garnish lemon slice 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,0.9649122807017544,0.2807017543859649,57,4.363,13.1
Could you please prepare a Green Grape Mojito with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle grape syrup 4. Drizzle mint syrup 5. Pour soda water 6. Stir 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9692307692307692,0.3230769230769231,65,5.545,11.7
"Would you get me a Coffee Frappe with whipped cream, please?",1. Prepare blender 2. Add ice 3. Pour cold brew 4. Pour milk 5. Blend well 6. Pour into cup 7. Garnish whipped cream 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Pour cold brew 4. Pour milk 5. Blend well 6. Pour into cup 7. Garnish whipped cream 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9655172413793104,0.27586206896551724,58,4.365,13.3
I would like to order a Toffee-Nut Latte with extra milk.,1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9743589743589743,0.2564102564102564,39,2.661,14.7
"May I have a Juice with caramel drizzle, thank you?",1. Place cup 2. Add ice 3. Add strawberry syrup 4. Add banana syrup 5. Pour water 6. Stir 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Add apple syrup 4. Add banana syrup 5. Pour water 6. Stir 7. Drizzle caramel syrup 8. Serve beverage 9. Done,0.889,0.889,0.889,0.9137931034482758,0.20689655172413793,58,3.669,15.8
Could you please prepare a Lemonade with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Pour lemonade 4. Garnish lemon slice 5. Drizzle vanilla syrup 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour lemonade 4. Garnish lemon slice 5. Drizzle vanilla syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9791666666666666,0.2916666666666667,48,3.613,13.3
"May I have a One Condensed-Milk Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle condensed milk 3. Pour espresso 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle condensed milk 3. Pour espresso 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done,1.000,1.000,1.000,0.98,0.26,50,3.650,13.7
Please may I have a Banana Pong Crush with an extra shot of espresso?,1. Prepare blender 2. Add ice 3. Drizzle banana syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour espresso 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle banana syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour espresso 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.1694915254237288,59,3.452,17.1
"Would you get me a Vanilla Americano with whipped cream, please?",1. Place cup 2. Add ice 3. Drizzle vanilla syrup 4. Pour water 5. Pour espresso 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle vanilla syrup 4. Pour water 5. Pour espresso 6. Garnish whipped cream 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.18518518518518517,54,3.220,16.8
Could you please prepare a Strawberry Pong Crush with a dash of vanilla syrup for me?,1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle vanilla syrup 8. Serve beverage 9. Done,1.000,1.000,1.000,0.984375,0.265625,64,4.806,13.3
"Would you get me a Chamomile Tea with whipped cream, please?",1. Place cup 2. Pour chamomile tea 3. Stir 4. Garnish whipped cream 5. Serve beverage 6. Done, 1. Place cup 2. Pour chamomile tea 3. Stir 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9743589743589743,0.2564102564102564,39,2.694,14.5
I would like to order a Green Tea Latte with extra milk.,1. Place cup 2. Pour green tea concentrate 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Pour green tea concentrate 3. Pour milk 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,0.9705882352941176,0.2647058823529412,34,2.359,14.4
Please may I have a Choco-Banana Juice with an extra shot of espresso?,1. Place cup 2. Add ice 3. Drizzle chocolate syrup 4. Add banana syrup 5. Pour milk 6. Stir 7. Pour espresso 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle chocolate syrup 4. Add banana syrup 5. Pour milk 6. Stir 7. Pour espresso 8. Serve beverage 9. Done,1.000,1.000,1.000,0.9827586206896551,0.1896551724137931,58,3.638,15.9
Please may I have a Cold Brew Decaf with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour espresso 5. Serve beverage 6. Done, 1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour espresso 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.3157894736842105,38,2.915,13.0
I would like to order a Decaf Americano with extra milk.,1. Place cup 2. Add ice 3. Pour water 4. Pour decaf espresso shots 5. Pour milk 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour water 4. Pour decaf espresso shots 5. Pour milk 6. Serve beverage 7. Done,1.000,1.000,1.000,0.9767441860465116,0.3023255813953488,43,3.185,13.5
"Would you get me a Mega Americano with whipped cream, please?",1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Garnish whipped cream 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Garnish whipped cream 6. Serve beverage 7. Done,1.000,1.000,1.000,1.0,0.2558139534883721,43,2.965,14.5
